frame,head_x,head_y,head_z,right_x,right_y,right_z,raw_x,raw_y,raw_z
1739,0.12878878564055035,-0.08467144588144594,1.1101536662145015,0.4617817122172785,-0.3533282705924094,0.25290435918574433,0.5749526023864746,-0.45244452357292175,1.029141902923584
1740,0.12907519882209334,-0.0845072052031148,1.1099779275637602,0.46103510652504653,-0.35396710018848554,0.25366551636990115,0.5750995874404907,-0.4522799253463745,1.0291600227355957
1741,0.12907519882209334,-0.0845072052031148,1.1099779275637602,0.46103510652504653,-0.35396710018848554,0.25366551636990115,0.5750995874404907,-0.4522799253463745,1.0291600227355957
1742,0.12907519882209334,-0.0845072052031148,1.1099779275637602,0.46152172130272173,-0.3537952661597812,0.25414384298493703,0.5757128596305847,-0.4521174728870392,1.0294643640518188
1743,0.12907519882209334,-0.0845072052031148,1.1099779275637602,0.4616383761220576,-0.35367110673373436,0.25421526451463633,0.5758489370346069,-0.45199617743492126,1.029494285583496
1744,0.12907519882209334,-0.0845072052031148,1.1099779275637602,0.4616383761220576,-0.35367110673373436,0.25421526451463633,0.5758489370346069,-0.45199617743492126,1.029494285583496
1745,0.12965290221378364,-0.08452000448737558,1.110329004673138,0.4619972070724295,-0.3529062640069017,0.2532171996031141,0.5761339068412781,-0.45182809233665466,1.0293610095977783
1746,0.12965290221378364,-0.08452000448737558,1.110329004673138,0.46229679782241384,-0.35275198735557933,0.2529084854578359,0.5763301849365234,-0.4516878128051758,1.028972864151001
1747,0.12991909613887706,-0.0843526731014773,1.1099544123487501,0.46145204981861304,-0.35345359288918154,0.25368901915908065,0.5763245224952698,-0.45156800746917725,1.0285600423812866
1748,0.13012146674649486,-0.08424321695806765,1.1097693129588453,0.46085206668895107,-0.3543113727885425,0.2540536127736413,0.5764543414115906,-0.4515910744667053,1.0280044078826904
1749,0.1301701309997509,-0.08407532179118457,1.1094273670980255,0.4606674552047828,-0.35499403198052304,0.25390086716787114,0.5765120983123779,-0.4516247510910034,1.0268027782440186
1750,0.1301701309997509,-0.08407532179118457,1.1094273670980255,0.4606674552047828,-0.35499403198052304,0.25390086716787114,0.5765120983123779,-0.4516247510910034,1.0268027782440186
1751,0.13033433656293944,-0.08387602427772697,1.1093567108088889,0.46054036325884967,-0.3555425468834846,0.2524855781484246,0.576612114906311,-0.4515100121498108,1.026025652885437
1752,0.13033433656293944,-0.08387602427772697,1.1093567108088889,0.46082665232948034,-0.3553994169884725,0.25196615179048326,0.5767285823822021,-0.4513820707798004,1.0254405736923218
1753,0.13033433656293944,-0.08387602427772697,1.1093567108088889,0.46082665232948034,-0.3553994169884725,0.25196615179048326,0.5767285823822021,-0.4513820707798004,1.0254405736923218
1754,0.13033433656293944,-0.08387602427772697,1.1093567108088889,0.46082665232948034,-0.3553994169884725,0.25196615179048326,0.5767285823822021,-0.4513820707798004,1.0254405736923218
1755,0.13071825734965037,-0.08398513333548632,1.1101131812455973,0.4617527379419576,-0.3546394088465135,0.24788325101945513,0.5770459771156311,-0.45112618803977966,1.024810552597046
1756,0.13071825734965037,-0.08398513333548632,1.1101131812455973,0.46170824811970984,-0.3544449131612037,0.24796939007137736,0.5770339965820312,-0.4509294033050537,1.0249019861221313
1757,0.13071825734965037,-0.08398513333548632,1.1101131812455973,0.46188154124620256,-0.35458802321158495,0.2481273145487531,0.5772432684898376,-0.45107540488243103,1.0250036716461182
1758,0.13071825734965037,-0.08398513333548632,1.1101131812455973,0.46181370308750347,-0.3544896750719026,0.24824138344075225,0.5772151350975037,-0.4509736895561218,1.0251307487487793
1759,0.13071825734965037,-0.08398513333548632,1.1101131812455973,0.46181370308750347,-0.3544896750719026,0.24824138344075225,0.5772151350975037,-0.4509736895561218,1.0251307487487793
1760,0.1313056246981746,-0.0842204913982778,1.1107391305277197,0.4621159491169774,-0.35423229145032165,0.24529404454442366,0.5774795413017273,-0.45118653774261475,1.0250188112258911
1761,0.1313056246981746,-0.0842204913982778,1.1107391305277197,0.4621159491169774,-0.35423229145032165,0.24529404454442366,0.5774795413017273,-0.45118653774261475,1.0250188112258911
1762,0.1313056246981746,-0.0842204913982778,1.1107391305277197,0.4623512891091214,-0.35424249109989214,0.24489330946082727,0.5775862336158752,-0.4512079954147339,1.024566888809204
1763,0.13120855885247054,-0.08392140154313084,1.1113762476471967,0.46262687898071,-0.35512341908288164,0.240334599608431,0.5775859355926514,-0.45126643776893616,1.0243818759918213
1764,0.13085983470902346,-0.08337828849184666,1.112300464712313,0.461851944980612,-0.35779513288241255,0.23496397860902257,0.5775235295295715,-0.4511750638484955,1.0241862535476685
1765,0.13085983470902346,-0.08337828849184666,1.112300464712313,0.4620509867217725,-0.357836774603793,0.23482307787091888,0.5776748657226562,-0.45122286677360535,1.0239964723587036
1766,0.13085983470902346,-0.08337828849184666,1.112300464712313,0.46204992688690955,-0.3578753251241039,0.23473930428544226,0.5776498913764954,-0.45126235485076904,1.0239169597625732
1767,0.13023939080176009,-0.0831447510753121,1.1132581573118046,0.4625846315391171,-0.35896745671187735,0.23195454192770387,0.5776739716529846,-0.4514663517475128,1.0237888097763062
1768,0.1294280165948629,-0.08299626553366574,1.1136473485901432,0.4633229380004177,-0.35943821486724403,0.23136881852932617,0.5776095986366272,-0.4516260027885437,1.0236841440200806
1769,0.1294280165948629,-0.08299626553366574,1.1136473485901432,0.4628201906992105,-0.3596012885679035,0.23139703867273093,0.5771306753158569,-0.4517783224582672,1.0238502025604248
